Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
v676si648-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,752.50,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,752.50,,true,,,active
v676si121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,752.50,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,752.50,,true,,,active
v676fl121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,781.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,781.10,,true,,,active
v676el121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,707.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,707.60,,true,,,active
x0000-bcw-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1709.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1709.00,,true,,,active
x0000-bc8-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1709.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1709.00,,true,,,active
x0000-bc6-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1709.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1709.00,,true,,,active
x0000-b0w-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1257.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1257.70,,true,,,active
x0000-b08-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1257.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1257.70,,true,,,active
x0000-b06-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1257.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1257.70,,true,,,active
x0000-2cw-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,2118.80,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,2118.80,,true,,,active
